DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.15:17:06	87.1536	2194.2	0.0401365	11.6244
2019-10-14.15:17:07	87.1621	2199.1	0.0400117	11.6232
2019-10-14.15:17:08	87.1701	2204.01	0.039887	11.6225
2019-10-14.15:17:09	87.1774	2208.91	0.0397623	11.622
2019-10-14.15:17:10	87.1839	2213.81	0.0396377	11.6215
2019-10-14.15:17:11	87.19	2218.72	0.0395132	11.6206
2019-10-14.15:17:12	87.1957	2223.62	0.039389	11.6193
2019-10-14.15:17:13	87.2015	2228.52	0.0392654	11.6174
2019-10-14.15:17:14	87.2076	2233.42	0.0391423	11.615
2019-10-14.15:17:15	87.2142	2238.32	0.0390201	11.6122
2019-10-14.15:17:16	87.2215	2243.21	0.0388985	11.6092
2019-10-14.15:17:17	87.2295	2248.1	0.0387778	11.6061
2019-10-14.15:17:18	87.238	2252.99	0.0386576	11.6034
2019-10-14.15:17:19	87.2467	2257.87	0.038538	11.601
2019-10-14.15:17:20	87.2555	2262.75	0.0384187	11.5992
2019-10-14.15:17:21	87.264	2267.63	0.0382996	11.5979
2019-10-14.15:17:22	87.272	2272.51	0.0381806	11.597
2019-10-14.15:17:23	87.2794	2277.39	0.0380617	11.5964
2019-10-14.15:17:24	87.2862	2282.27	0.0379428	11.5957
2019-10-14.15:17:25	87.2924	2287.15	0.037824	11.5949
2019-10-14.15:17:26	87.2983	2292.02	0.0377055	11.5936
2019-10-14.15:17:27	87.3042	2296.9	0.0375875	11.5919
2019-10-14.15:17:28	87.3103	2301.78	0.03747	11.5897
2019-10-14.15:17:29	87.3168	2306.65	0.0373532	11.5871
2019-10-14.15:17:30	87.324	2311.51	0.0372371	11.5842
2019-10-14.15:17:31	87.3317	2316.38	0.0371216	11.5813
2019-10-14.15:17:32	87.3399	2321.24	0.0370068	11.5786
2019-10-14.15:17:33	87.3485	2326.1	0.0368926	11.5762
2019-10-14.15:17:34	87.3571	2330.96	0.0367786	11.5743
2019-10-14.15:17:35	87.3655	2335.81	0.0366649	11.5728
2019-10-14.15:17:36	87.3736	2340.66	0.0365514	11.5718
2019-10-14.15:17:37	87.381	2345.52	0.0364379	11.571
2019-10-14.15:17:38	87.388	2350.37	0.0363244	11.5702
2019-10-14.15:17:39	87.3944	2355.23	0.0362111	11.5693
2019-10-14.15:17:40	87.4005	2360.08	0.0360981	11.5681
2019-10-14.15:17:41	87.4064	2364.93	0.0359854	11.5665
2019-10-14.15:17:42	87.4126	2369.78	0.0358732	11.5645
2019-10-14.15:17:43	87.4191	2374.63	0.0357616	11.562
2019-10-14.15:17:44	87.426	2379.47	0.0356507	11.5593
2019-10-14.15:17:45	87.4336	2384.31	0.0355404	11.5565
2019-10-14.15:17:46	87.4416	2389.15	0.0354307	11.5539
2019-10-14.15:17:47	87.4499	2393.98	0.0353215	11.5515
2019-10-14.15:17:48	87.4583	2398.81	0.0352127	11.5495
2019-10-14.15:17:49	87.4667	2403.64	0.0351041	11.5479
2019-10-14.15:17:50	87.4747	2408.47	0.0349957	11.5467
2019-10-14.15:17:51	87.4823	2413.3	0.0348874	11.5457
2019-10-14.15:17:52	87.4893	2418.13	0.0347792	11.5449
2019-10-14.15:17:53	87.4959	2422.96	0.0346711	11.544
2019-10-14.15:17:54	87.5021	2427.79	0.0345632	11.5428
2019-10-14.15:17:55	87.5082	2432.61	0.0344556	11.5413
2019-10-14.15:17:56	87.5144	2437.44	0.0343485	11.5394
2019-10-14.15:17:57	87.5208	2442.26	0.0342419	11.5371
2019-10-14.15:17:58	87.5277	2447.08	0.0341359	11.5345
2019-10-14.15:17:59	87.535	2451.89	0.0340305	11.5319
2019-10-14.15:18:00	87.5428	2456.7	0.0339257	11.5293
2019-10-14.15:18:01	87.5509	2461.51	0.0338213	11.5269
2019-10-14.15:18:02	87.5592	2466.32	0.0337174	11.5248
2019-10-14.15:18:03	87.5675	2471.13	0.0336138	11.5231
2019-10-14.15:18:04	87.5755	2475.93	0.0335103	11.5218
2019-10-14.15:18:05	87.5831	2480.74	0.0334069	11.5207
2019-10-14.15:18:06	87.5902	2485.54	0.0333037	11.5198
2019-10-14.15:18:07	87.597	2490.34	0.0332005	11.5188
2019-10-14.15:18:08	87.6034	2495.15	0.0330976	11.5177
2019-10-14.15:18:09	87.6096	2499.95	0.0329949	11.5162
2019-10-14.15:18:10	87.6158	2504.75	0.0328926	11.5144
2019-10-14.15:18:11	87.6222	2509.54	0.0327908	11.5123
2019-10-14.15:18:12	87.629	2514.34	0.0326895	11.5099
2019-10-14.15:18:13	87.6361	2519.13	0.0325888	11.5073
2019-10-14.15:18:14	87.6437	2523.92	0.0324886	11.5048
2019-10-14.15:18:15	87.6516	2528.7	0.0323889	11.5024
2019-10-14.15:18:16	87.6597	2533.49	0.0322897	11.5003
2019-10-14.15:18:17	87.6679	2538.27	0.0321907	11.4985
2019-10-14.15:18:18	87.6758	2543.05	0.0320919	11.4971
2019-10-14.15:18:19	87.6835	2547.83	0.0319932	11.4959
2019-10-14.15:18:20	87.6907	2552.61	0.0318947	11.4948
2019-10-14.15:18:21	87.6976	2557.38	0.0317963	11.4938
2019-10-14.15:18:22	87.7041	2562.16	0.031698	11.4927
2019-10-14.15:18:23	87.7104	2566.94	0.0316	11.4913
2019-10-14.15:18:24	87.7167	2571.71	0.0315024	11.4896
2019-10-14.15:18:25	87.7242	2576.48	0.0314442	11.4652
2019-10-14.15:18:26	87.8022	2581.16	0.0322525	11.0585
2019-10-14.15:18:27	88.0443	2585.46	0.0328744	10.7587
2019-10-14.15:18:28	88.4147	2589.41	0.0332485	10.4465
2019-10-14.15:18:29	88.9036	2593.06	0.033508	10.1439
2019-10-14.15:18:30	89.4927	2596.45	0.0338907	9.85276
2019-10-14.15:18:31	90.1675	2599.65	0.0345706	9.56892
2019-10-14.15:18:32	90.9159	2602.68	0.035515	9.29175
2019-10-14.15:18:33	91.7297	2605.59	0.0365615	9.01863
2019-10-14.15:18:34	92.6027	2608.4	0.0375518	8.74869
2019-10-14.15:18:35	93.5279	2611.13	0.038431	8.48226
2019-10-14.15:18:36	94.4962	2613.79	0.0392551	8.21735
2019-10-14.15:18:37	95.5057	2616.42	0.0401206	7.95033
2019-10-14.15:18:38	96.5553	2619.01	0.0410469	7.68524
2019-10-14.15:18:39	97.6449	2621.56	0.0419993	7.42018
2019-10-14.15:18:40	98.769	2624.08	0.042917	7.15893
2019-10-14.15:18:41	99.9283	2626.53	0.0437383	6.91892
2019-10-14.15:18:42	101.114	2628.84	0.0444031	6.70365
2019-10-14.15:18:43	102.322	2631.04	0.0450394	6.49785
2019-10-14.15:18:44	103.541	2633.14	0.0457026	6.3119
2019-10-14.15:18:45	104.768	2635.18	0.0464051	6.1255
2019-10-14.15:18:46	106	2637.22	0.0471574	5.92696
2019-10-14.15:18:47	107.235	2639.26	0.047851	5.73541
2019-10-14.15:18:48	108.476	2641.29	0.0484564	5.5432
