DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
2019-10-14.12:24:19	112.986	3146.31	0.0388603	5.01231
2019-10-14.12:24:20	114.134	3148.31	0.0393204	4.84255
2019-10-14.12:24:21	115.279	3150.26	0.039767	4.67619
2019-10-14.12:24:22	116.42	3152.16	0.0401826	4.51463
2019-10-14.12:24:23	117.559	3154.02	0.0405649	4.35711
2019-10-14.12:24:24	118.694	3155.82	0.0409232	4.20405
2019-10-14.12:24:25	119.825	3157.58	0.041267	4.05533
2019-10-14.12:24:26	120.952	3159.29	0.0415963	3.91092
2019-10-14.12:24:27	122.075	3160.95	0.0419059	3.77083
2019-10-14.12:24:28	123.19	3162.56	0.0421924	3.63614
2019-10-14.12:24:29	124.293	3164.12	0.0424602	3.50553
2019-10-14.12:24:30	125.386	3165.63	0.042712	3.37959
2019-10-14.12:24:31	126.467	3167.1	0.0429481	3.25773
2019-10-14.12:24:32	127.535	3168.52	0.0431668	3.14006
2019-10-14.12:24:33	128.592	3169.89	0.0433688	3.02651
2019-10-14.12:24:34	129.636	3171.21	0.0435561	2.91693
[State]	Cruise
2019-10-14.12:24:35	130.668	3172.49	0.0437302	2.81124
2019-10-14.12:24:36	131.686	3173.73	0.0438912	2.70935
2019-10-14.12:24:37	132.691	3174.92	0.0440389	2.61112
2019-10-14.12:24:38	133.682	3176.07	0.0441742	2.51648
2019-10-14.12:24:39	134.658	3177.18	0.0442977	2.42559
2019-10-14.12:24:40	135.617	3178.25	0.0444096	2.33846
2019-10-14.12:24:41	136.557	3179.28	0.0445105	2.25476
2019-10-14.12:24:42	137.478	3180.28	0.0446002	2.17417
2019-10-14.12:24:43	138.381	3181.24	0.0446789	2.09673
2019-10-14.12:24:44	139.263	3182.16	0.0447523	2.02181
2019-10-14.12:24:45	140.124	3183.04	0.0448133	1.95049
2019-10-14.12:24:46	140.964	3183.9	0.0448636	1.88195
2019-10-14.12:24:47	141.783	3184.71	0.0449041	1.81618
2019-10-14.12:24:48	142.582	3185.5	0.0449362	1.75324
2019-10-14.12:24:49	143.354	3186.25	-0.443358	1.66668
2019-10-14.12:24:50	144.373	3185.24	-9.15286	-2.02045
2019-10-14.12:24:51	145.763	3178.73	-17.5241	-0.606107
2019-10-14.12:24:52	146.428	3173.58	-25.8943	-1.07353
2019-10-14.12:24:53	147.783	3166.06	-30.0767	-2.14781
2019-10-14.12:24:54	148.935	3157.78	-30.0962	-1.41804
2019-10-14.12:24:55	149.702	3151.54	-30.0947	-1.48615
2019-10-14.12:24:56	150.593	3144.87	-30.0882	-1.59344
2019-10-14.12:24:57	151.524	3137.44	-30.0866	-1.83959
2019-10-14.12:24:58	152.523	3129.49	-30.0876	-2.16427
2019-10-14.12:24:59	153.54	3121.21	-30.0868	-2.24166
2019-10-14.12:25:00	154.469	3112.87	-30.0851	-2.11025
2019-10-14.12:25:01	155.259	3104.81	-30.0853	-1.9672
2019-10-14.12:25:02	155.902	3097.25	-30.0865	-1.80347
2019-10-14.12:25:03	156.376	3090.34	-30.0873	-1.53148
2019-10-14.12:25:04	156.65	3084.23	-30.0879	-1.21886
2019-10-14.12:25:05	156.891	3078.51	-30.0859	-1.4648
2019-10-14.12:25:06	157.229	3072.3	-30.0849	-1.64454
2019-10-14.12:25:07	157.63	3065.66	-30.0839	-1.79286
2019-10-14.12:25:08	158.067	3058.69	-30.0829	-1.88903
2019-10-14.12:25:09	158.514	3051.51	-30.0822	-1.94094
2019-10-14.12:25:10	158.948	3044.25	-30.0818	-1.95478
2019-10-14.12:25:11	159.349	3037.02	-30.0815	-1.92628
2019-10-14.12:25:12	159.698	3029.93	-30.0813	-1.85667
2019-10-14.12:25:13	159.968	3023.12	-26.8107	-1.71846
2019-10-14.12:25:14	160.053	3017.64	-20.8222	-1.84627
2019-10-14.12:25:15	160.344	3012.3	-16.9526	-2.34188
2019-10-14.12:25:16	160.709	3006.3	-14.2184	-2.2471
2019-10-14.12:25:17	160.964	3000.51	-11.4399	-2.10713
2019-10-14.12:25:18	161.122	2995.42	-8.86995	-1.88439
2019-10-14.12:25:19	161.221	2990.9	-7.32926	-2.13083
2019-10-14.12:25:20	161.423	2985.82	-6.27095	-2.27913
2019-10-14.12:25:21	161.682	2980.29	-5.00043	-2.43728
2019-10-14.12:25:22	162.028	2974.42	-3.85689	-2.56727
2019-10-14.12:25:23	162.398	2968.32	-3.2332	-2.61093
2019-10-14.12:25:24	162.734	2962.15	-2.7673	-2.59933
2019-10-14.12:25:25	163.034	2956.04	-2.15249	-2.57346
2019-10-14.12:25:26	163.314	2950.06	-1.64786	-2.52634
2019-10-14.12:25:27	163.538	2944.27	-1.40895	-2.43912
2019-10-14.12:25:28	163.678	2938.76	-1.19338	-2.32544
2019-10-14.12:25:29	163.75	2933.58	-0.894018	-2.20866
2019-10-14.12:25:30	163.765	2928.76	-0.682499	-2.08857
2019-10-14.12:25:31	163.708	2924.28	-0.596466	-1.98819
2019-10-14.12:25:32	163.659	2919.88	-0.504853	-2.12603
2019-10-14.12:25:33	163.679	2915.15	-0.366414	-2.24093
2019-10-14.12:25:34	163.764	2910.11	-0.272304	-2.35365
2019-10-14.12:25:35	163.899	2904.76	-0.239206	-2.45364
2019-10-14.12:25:36	164.07	2899.14	-0.191674	-2.53958
2019-10-14.12:25:37	164.274	2893.3	-0.123398	-2.6127
2019-10-14.12:25:38	164.5	2887.28	-0.0866534	-2.66878
2019-10-14.12:25:39	164.734	2881.13	-0.0750495	-2.70396
2019-10-14.12:25:40	164.963	2874.91	-0.0486521	-2.71983
2019-10-14.12:25:41	165.181	2868.67	-0.0162234	-2.71856
2019-10-14.12:25:42	165.38	2862.47	-0.0037376	-2.69966
2019-10-14.12:25:43	165.548	2856.34	0.0009249	-2.66398
2019-10-14.12:25:44	165.682	2850.34	0.0158386	-2.61522
2019-10-14.12:25:45	165.778	2844.5	0.0300808	-2.55657
2019-10-14.12:25:46	165.834	2838.84	0.0332359	-2.48991
2019-10-14.12:25:47	165.849	2833.38	0.0357295	-2.41815
