DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.15:54:09	78.3553	1803.86	3.59811	12.6557
2019-10-14.15:54:10	78.6188	1805.78	-2.88344	12.3217
2019-10-14.15:54:11	78.6916	1807.97	-6.76944	13.4514
2019-10-14.15:54:12	78.4057	1810.54	-4.89222	13.6849
2019-10-14.15:54:13	78.2324	1813.49	0.298824	12.8138
2019-10-14.15:54:14	78.2248	1816.21	4.20411	12.8258
2019-10-14.15:54:15	78.1865	1818.3	8.02998	13.2497
2019-10-14.15:54:16	78.2553	1819.77	5.57358	13.1765
2019-10-14.15:54:17	78.4234	1821.6	-1.46698	12.5575
2019-10-14.15:54:18	78.4308	1823.95	-6.96751	13.8571
2019-10-14.15:54:19	77.9448	1826.79	-6.1043	14.5803
2019-10-14.15:54:20	77.4818	1830.1	-0.904026	13.5556
2019-10-14.15:54:21	77.3504	1833.21	2.91192	13.1719
2019-10-14.15:54:22	77.2479	1835.52	6.30381	13.4102
2019-10-14.15:54:23	77.3935	1836.87	9.32837	13.5006
2019-10-14.15:54:24	77.6666	1837.95	1.46678	12.6726
2019-10-14.15:54:25	77.967	1839.67	-4.97352	13.2762
2019-10-14.15:54:26	77.6975	1841.96	-7.58108	14.9145
2019-10-14.15:54:27	77.1367	1844.96	-3.02617	14.2084
2019-10-14.15:54:28	76.995	1848.07	1.31526	13.0395
2019-10-14.15:54:29	77.0128	1850.37	4.51261	13.0832
2019-10-14.15:54:30	77.1908	1851.69	8.37202	13.2041
2019-10-14.15:54:31	77.5411	1852.3	6.21116	13.4361
2019-10-14.15:54:32	77.8431	1853.66	-0.975073	12.9241
2019-10-14.15:54:33	77.7197	1855.95	-6.97114	14.6653
2019-10-14.15:54:34	77.0669	1858.97	-6.42067	15.1556
2019-10-14.15:54:35	76.6562	1862.22	-1.16995	13.3777
2019-10-14.15:54:36	76.7975	1864.72	2.42409	12.6335
2019-10-14.15:54:37	77.0771	1866.09	5.66225	12.6608
2019-10-14.15:54:38	77.4821	1866.6	10.0822	13.5182
2019-10-14.15:54:39	77.7713	1867.32	3.42279	13.1108
2019-10-14.15:54:40	77.9276	1869.2	-3.07741	13.6552
2019-10-14.15:54:41	77.4542	1872.05	-8.56452	15.2017
2019-10-14.15:54:42	76.7959	1875.29	-4.36657	14.5074
2019-10-14.15:54:43	76.6526	1878.32	0.329517	12.9436
2019-10-14.15:54:44	76.8567	1880.38	3.5677	12.5977
2019-10-14.15:54:45	77.2093	1881.32	7.12368	12.9038
2019-10-14.15:54:46	77.6118	1881.69	8.38068	13.6487
2019-10-14.15:54:47	77.8702	1882.8	0.828893	12.971
2019-10-14.15:54:48	77.8241	1885.06	-5.26373	14.3626
2019-10-14.15:54:49	77.2101	1888.11	-7.46462	15.2852
2019-10-14.15:54:50	76.6723	1891.34	-2.38325	13.8088
2019-10-14.15:54:51	76.7367	1894.07	1.59555	12.6875
2019-10-14.15:54:52	76.988	1895.69	4.73796	12.5905
2019-10-14.15:54:53	77.3886	1896.3	8.8129	13.2515
2019-10-14.15:54:54	77.7361	1896.77	5.43243	13.3571
2019-10-14.15:54:55	77.9742	1898.32	-1.4998	13.2299
2019-10-14.15:54:56	77.6593	1900.94	-7.47896	14.9037
2019-10-14.15:54:57	76.9942	1904.1	-5.94258	14.9277
2019-10-14.15:54:58	76.6724	1907.24	-0.70929	13.2203
2019-10-14.15:54:59	76.8478	1909.58	2.75249	12.5931
2019-10-14.15:55:00	77.1561	1910.79	6.05495	12.6835
2019-10-14.15:55:01	77.5764	1911.19	9.99513	13.557
2019-10-14.15:55:02	77.8614	1911.98	2.62631	12.9986
2019-10-14.15:55:03	77.9765	1913.94	-3.72747	13.8368
2019-10-14.15:55:04	77.4581	1916.84	-8.24339	15.2375
2019-10-14.15:55:05	76.8292	1920.06	-3.76126	14.2658
2019-10-14.15:55:06	76.7601	1922.99	0.718553	12.8121
2019-10-14.15:55:07	76.9788	1924.9	3.90803	12.5671
2019-10-14.15:55:08	77.3476	1925.73	7.60477	12.9677
2019-10-14.15:55:09	77.7386	1926.09	7.48078	13.5611
