DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.14:44:50	78.3167	2146.95	-5.21267	14.1642
2019-10-14.14:44:51	77.7102	2149.91	-7.50126	15.1171
2019-10-14.14:44:52	77.1712	2153.08	-2.45011	13.6504
2019-10-14.14:44:53	77.2341	2155.74	1.59938	12.5233
2019-10-14.14:44:54	77.4817	2157.3	4.78815	12.4425
2019-10-14.14:44:55	77.8752	2157.86	8.89013	13.1073
2019-10-14.14:44:56	78.2139	2158.28	5.2686	13.1854
2019-10-14.14:44:57	78.4484	2159.78	-1.65374	13.0852
2019-10-14.14:44:58	78.126	2162.33	-7.63787	14.7693
2019-10-14.14:44:59	77.4617	2165.42	-5.79502	14.7245
2019-10-14.14:45:00	77.1588	2168.49	-0.609821	13.0227
2019-10-14.14:45:01	77.3385	2170.73	2.87819	12.4355
2019-10-14.14:45:02	77.6467	2171.84	6.24214	12.5627
2019-10-14.14:45:03	78.0593	2172.18	9.79563	13.4397
2019-10-14.14:45:04	78.3326	2172.95	2.25083	12.8205
2019-10-14.14:45:05	78.4243	2174.89	-4.05649	13.7724
2019-10-14.14:45:06	77.8872	2177.75	-7.9835	15.1091
2019-10-14.14:45:07	77.2741	2180.9	-3.48969	14.0021
2019-10-14.14:45:08	77.2383	2183.72	0.928905	12.6161
2019-10-14.14:45:09	77.4617	2185.5	4.14427	12.4265
2019-10-14.14:45:10	77.8324	2186.2	7.95291	12.8987
2019-10-14.14:45:11	78.2045	2186.52	6.83203	13.3685
2019-10-14.14:45:12	78.4594	2187.78	-0.450703	12.8723
2019-10-14.14:45:13	78.276	2190.14	-6.45258	14.4952
2019-10-14.14:45:14	77.6267	2193.17	-6.86005	14.9544
2019-10-14.14:45:15	77.1978	2196.29	-1.45374	13.2842
2019-10-14.14:45:16	77.3364	2198.73	2.27707	12.446
2019-10-14.14:45:17	77.6136	2200.04	5.52454	12.4634
2019-10-14.14:45:18	78.0217	2200.46	9.95106	13.2867
2019-10-14.14:45:19	78.3227	2201.02	3.64124	12.947
2019-10-14.14:45:20	78.5008	2202.75	-2.92876	13.3943
2019-10-14.14:45:21	78.0539	2205.46	-8.59231	14.9724
2019-10-14.14:45:22	77.401	2208.58	-4.57563	14.3487
2019-10-14.14:45:23	77.2472	2211.53	0.230729	12.7626
2019-10-14.14:45:24	77.4502	2213.52	3.54274	12.4131
2019-10-14.14:45:25	77.7924	2214.39	7.11351	12.7068
2019-10-14.14:45:26	78.1905	2214.68	8.3662	13.4613
2019-10-14.14:45:27	78.4479	2215.7	0.784416	12.7713
2019-10-14.14:45:28	78.407	2217.85	-5.31783	14.1647
2019-10-14.14:45:29	77.7966	2220.8	-7.47813	15.0799
2019-10-14.14:45:30	77.2666	2223.94	-2.36529	13.5874
2019-10-14.14:45:31	77.3378	2226.56	1.66397	12.4859
2019-10-14.14:45:32	77.5874	2228.08	4.86184	12.4176
2019-10-14.14:45:33	77.9816	2228.6	8.99873	13.1
2019-10-14.14:45:34	78.3153	2229.01	5.08354	13.133
2019-10-14.14:45:35	78.5458	2230.51	-1.80268	13.0845
2019-10-14.14:45:36	78.2098	2233.06	-7.79023	14.7676
2019-10-14.14:45:37	77.546	2236.13	-5.65698	14.6562
2019-10-14.14:45:38	77.2609	2239.17	-0.50985	12.961
2019-10-14.14:45:39	77.4444	2241.36	2.96378	12.4052
2019-10-14.14:45:40	77.7559	2242.43	6.35427	12.5527
2019-10-14.14:45:41	78.1668	2242.73	9.64648	13.4265
2019-10-14.14:45:42	78.436	2243.52	2.04286	12.7793
2019-10-14.14:45:43	78.5129	2245.47	-4.23396	13.7981
2019-10-14.14:45:44	77.965	2248.31	-7.86545	15.088
2019-10-14.14:45:45	77.3617	2251.44	-3.33145	13.9142
2019-10-14.14:45:46	77.3433	2254.21	1.03993	12.5659
[State]	Cruise
2019-10-14.14:45:47	77.5702	2255.94	4.25572	12.4003
2019-10-14.14:45:48	77.9438	2256.6	8.11256	12.9045
2019-10-14.14:45:49	78.3093	2256.91	6.55343	13.3124
2019-10-14.14:45:50	78.5623	2258.19	-0.671534	12.8695
2019-10-14.14:45:51	78.3545	2260.55	-6.66421	14.5167
2019-10-14.14:45:52	77.7016	2263.57	-6.68897	14.8881
2019-10-14.14:45:53	77.2946	2266.66	-1.29864	13.2
2019-10-14.14:45:54	77.4433	2269.04	2.39399	12.4107
2019-10-14.14:45:55	77.7253	2270.29	5.66492	12.4497
2019-10-14.14:45:56	78.134	2270.67	10.0731	13.2914
2019-10-14.14:45:57	78.4278	2271.25	3.35186	12.8844
2019-10-14.14:45:58	78.5917	2272.99	-3.1626	13.4338
2019-10-14.14:45:59	78.126	2275.71	-8.55627	14.9767
2019-10-14.14:46:00	77.4794	2278.81	-4.35419	14.2458
2019-10-14.14:46:01	77.3523	2281.71	0.382905	12.6941
2019-10-14.14:46:02	77.5595	2283.63	3.67822	12.3861
2019-10-14.14:46:03	77.9069	2284.45	7.30053	12.7176
2019-10-14.14:46:04	78.2991	2284.71	8.02561	13.4218
2019-10-14.14:46:05	78.5551	2285.76	0.494857	12.7526
2019-10-14.14:46:06	78.484	2287.93	-5.57803	14.2125
2019-10-14.14:46:07	77.8634	2290.88	-7.40077	15.0291
2019-10-14.14:46:08	77.3553	2293.99	-2.15227	13.48
2019-10-14.14:46:09	77.4452	2296.54	1.81272	12.4407
2019-10-14.14:46:10	77.7004	2297.99	5.02333	12.3963
2019-10-14.14:46:11	78.0973	2298.47	9.23853	13.1178
2019-10-14.14:46:12	78.4218	2298.88	4.71257	13.0536
2019-10-14.14:46:13	78.6424	2300.42	-2.09265	13.1215
2019-10-14.14:46:14	78.2772	2302.99	-8.08942	14.7919
2019-10-14.14:46:15	77.6149	2306.04	-5.39238	14.5503
2019-10-14.14:46:16	77.3652	2309.03	-0.313503	12.8713
2019-10-14.14:46:17	77.5543	2311.15	3.12163	12.3756
2019-10-14.14:46:18	77.8728	2312.14	6.55968	12.5605
2019-10-14.14:46:19	78.2805	2312.42	9.33602	13.4187
2019-10-14.14:46:20	78.5445	2313.24	1.68188	12.7344
2019-10-14.14:46:21	78.5921	2315.22	-4.54051	13.8695
2019-10-14.14:46:22	78.0254	2318.07	-7.71952	15.0661
2019-10-14.14:46:23	77.4409	2321.18	-3.05629	13.7858
2019-10-14.14:46:24	77.451	2323.88	1.22462	12.5048
2019-10-14.14:46:25	77.6838	2325.53	4.43683	12.3755
2019-10-14.14:46:26	78.0628	2326.12	8.37543	12.9326
2019-10-14.14:46:27	78.4179	2326.43	6.09707	13.2319
2019-10-14.14:46:28	78.6666	2327.75	-1.02737	12.8918
2019-10-14.14:46:29	78.4189	2330.15	-7.01011	14.5673
2019-10-14.14:46:30	77.7612	2333.16	-6.38559	14.7922
2019-10-14.14:46:31	77.4046	2336.21	-1.04512	13.0903
2019-10-14.14:46:32	77.7878	2338.41	1.04412	12.4087
2019-10-14.14:46:33	78.6164	2339.5	-9.80375	11.0919
2019-10-14.14:46:34	80.3528	2339.35	-19.3278	11.7597
2019-10-14.14:46:35	82.4266	2337.96	-27.966	14.6231
