DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.09:38:08	78.0613	1971.08	1.14455	12.885
2019-10-14.09:38:09	78.0524	1973.25	-4.99034	14.1936
2019-10-14.09:38:10	77.4555	1976.25	-7.54834	15.2153
2019-10-14.09:38:11	76.9008	1979.47	-2.62374	13.8063
2019-10-14.09:38:12	76.9474	1982.21	1.4597	12.6258
2019-10-14.09:38:13	77.1923	1983.86	4.62279	12.5174
2019-10-14.09:38:14	77.5869	1984.49	8.64617	13.1362
2019-10-14.09:38:15	77.9397	1984.92	5.67553	13.3145
2019-10-14.09:38:16	78.184	1986.41	-1.32619	13.1083
2019-10-14.09:38:17	77.8938	1988.97	-7.30606	14.7854
2019-10-14.09:38:18	77.2316	1992.1	-6.09608	14.8809
2019-10-14.09:38:19	76.8926	1995.24	-0.830851	13.1741
2019-10-14.09:38:20	77.0646	1997.59	2.68955	12.5157
2019-10-14.09:38:21	77.3673	1998.81	5.99479	12.5974
2019-10-14.09:38:22	77.7855	1999.21	10.0372	13.4679
2019-10-14.09:38:23	78.0713	1999.96	2.71632	12.928
2019-10-14.09:38:24	78.1955	2001.88	-3.66483	13.7252
2019-10-14.09:38:25	77.6852	2004.75	-8.261	15.1506
2019-10-14.09:38:26	77.0542	2007.95	-3.83861	14.2037
2019-10-14.09:38:27	76.9789	2010.87	0.686981	12.7416
2019-10-14.09:38:28	77.1952	2012.78	3.9061	12.4947
2019-10-14.09:38:29	77.5594	2013.6	7.61033	12.8945
2019-10-14.09:38:30	77.9463	2013.95	7.45395	13.4898
2019-10-14.09:38:31	78.2035	2015.17	0.0492171	12.8977
2019-10-14.09:38:32	78.0765	2017.51	-5.98152	14.4477
2019-10-14.09:38:33	77.4381	2020.57	-7.17857	15.0966
2019-10-14.09:38:34	76.963	2023.76	-1.80986	13.4857
2019-10-14.09:38:35	77.0755	2026.34	2.01136	12.5366
2019-10-14.09:38:36	77.3422	2027.79	5.21178	12.5068
2019-10-14.09:38:37	77.7483	2028.31	9.52002	13.2778
2019-10-14.09:38:38	78.0666	2028.85	4.31472	13.1028
2019-10-14.09:38:39	78.2725	2030.53	-2.38901	13.3204
2019-10-14.09:38:40	77.8719	2033.24	-8.36723	14.958
2019-10-14.09:38:41	77.209	2036.4	-5.07933	14.5833
2019-10-14.09:38:42	76.9916	2039.45	-0.117956	12.9339
2019-10-14.09:38:43	77.1844	2041.6	3.24031	12.4828
2019-10-14.09:38:44	77.5144	2042.62	6.70076	12.6939
2019-10-14.09:38:45	77.9238	2042.96	9.10822	13.531
2019-10-14.09:38:46	78.1875	2043.91	1.4692	12.8402
2019-10-14.09:38:47	78.2111	2046.02	-4.71374	14.0513
2019-10-14.09:38:48	77.6294	2048.98	-7.63431	15.1787
2019-10-14.09:38:49	77.0535	2052.18	-2.87546	13.8485
2019-10-14.09:38:50	77.0759	2054.95	1.31017	12.6055
2019-10-14.09:38:51	77.3129	2056.64	4.48884	12.4772
2019-10-14.09:38:52	77.6992	2057.29	8.44987	13.0581
2019-10-14.09:38:53	78.055	2057.69	5.98328	13.3198
2019-10-14.09:38:54	78.3024	2059.12	-1.09843	13.0229
2019-10-14.09:38:55	78.0403	2061.62	-7.08002	14.6983
2019-10-14.09:38:56	77.3787	2064.72	-6.30041	14.8919
2019-10-14.09:38:57	77.0132	2067.86	-0.994213	13.1894
2019-10-14.09:38:58	77.1764	2070.23	2.58425	12.4843
2019-10-14.09:38:59	77.471	2071.47	5.87485	12.5498
2019-10-14.09:39:00	77.8848	2071.88	10.1019	13.4159
2019-10-14.09:39:01	78.1719	2072.58	2.9452	12.9191
2019-10-14.09:39:02	78.3102	2074.45	-3.48194	13.6278
2019-10-14.09:39:03	77.8143	2077.28	-8.38871	15.1006
2019-10-14.09:39:04	77.1756	2080.45	-4.02064	14.2299
[State]	Cruise
2019-10-14.09:39:05	77.0809	2083.37	0.579132	12.7338
2019-10-14.09:39:06	77.2935	2085.3	3.82197	12.4642
2019-10-14.09:39:07	77.6519	2086.13	7.49361	12.8395
2019-10-14.09:39:08	78.0407	2086.45	7.66492	13.4772
2019-10-14.09:39:09	78.297	2087.62	0.212163	12.8534
2019-10-14.09:39:10	78.1907	2089.91	-5.83272	14.3732
2019-10-14.09:39:11	77.5579	2092.93	-7.268	15.0844
2019-10-14.09:39:12	77.0697	2096.11	-1.93506	13.4953
2019-10-14.09:39:13	77.1737	2098.68	1.93571	12.5121
2019-10-14.09:39:14	77.4363	2100.15	5.13644	12.4749
2019-10-14.09:39:15	77.8394	2100.65	9.4071	13.2287
2019-10-14.09:39:16	78.1606	2101.16	4.48171	13.0974
2019-10-14.09:39:17	78.3725	2102.79	-2.26122	13.2545
