DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.12:58:10	76.7747	1935.65	-2.31393	13.7406
2019-10-14.12:58:11	76.8472	1938.35	1.65257	12.642
2019-10-14.12:58:12	77.1005	1939.94	4.80791	12.5572
2019-10-14.12:58:13	77.502	1940.54	8.9173	13.2309
2019-10-14.12:58:14	77.8456	1941.01	5.24546	13.2943
2019-10-14.12:58:15	78.0806	1942.57	-1.65327	13.2173
2019-10-14.12:58:16	77.7528	1945.2	-7.63701	14.8915
2019-10-14.12:58:17	77.0881	1948.35	-5.78277	14.8469
2019-10-14.12:58:18	76.7849	1951.47	-0.607398	13.1461
2019-10-14.12:58:19	76.965	1953.77	2.84282	12.551
2019-10-14.12:58:20	77.2772	1954.94	6.17664	12.6624
2019-10-14.12:58:21	77.6965	1955.33	9.87968	13.5373
2019-10-14.12:58:22	77.9768	1956.14	2.40015	12.9417
2019-10-14.12:58:23	78.0768	1958.13	-3.91939	13.8562
2019-10-14.12:58:24	77.546	1961.04	-8.0896	15.2119
2019-10-14.12:58:25	76.9263	1964.25	-3.5887	14.1611
2019-10-14.12:58:26	76.8773	1967.14	0.837232	12.746
2019-10-14.12:58:27	77.0999	1969.01	4.02713	12.5288
2019-10-14.12:58:28	77.4726	1969.79	7.77862	12.9649
2019-10-14.12:58:29	77.8569	1970.16	7.16806	13.4973
2019-10-14.12:58:30	78.1156	1971.43	-0.167371	12.9542
2019-10-14.12:58:31	77.9602	1973.81	-6.17978	14.5385
2019-10-14.12:58:32	77.3167	1976.89	-7.05668	15.1027
2019-10-14.12:58:33	76.862	1980.08	-1.65059	13.4624
2019-10-14.12:58:34	76.9872	1982.63	2.10708	12.5584
2019-10-14.12:58:35	77.2605	1984.06	5.3084	12.5404
2019-10-14.12:58:36	77.6718	1984.55	9.66703	13.328
2019-10-14.12:58:37	77.9887	1985.12	4.11541	13.1
2019-10-14.12:58:38	78.1877	1986.84	-2.53847	13.3943
2019-10-14.12:58:39	77.7717	1989.58	-8.47954	15.0078
2019-10-14.12:58:40	77.1126	1992.75	-4.92928	14.565
2019-10-14.12:58:41	76.9149	1995.8	-0.0204006	12.9289
2019-10-14.12:58:42	77.1121	1997.92	3.30762	12.5048
2019-10-14.12:58:43	77.4482	1998.93	6.78669	12.7301
2019-10-14.12:58:44	77.8595	1999.27	8.9478	13.5499
2019-10-14.12:58:45	78.1245	2000.26	1.3193	12.858
2019-10-14.12:58:46	78.1348	2002.39	-4.8421	14.1151
2019-10-14.12:58:47	77.5465	2005.38	-7.58879	15.1939
2019-10-14.12:58:48	76.9805	2008.59	-2.75908	13.828
2019-10-14.12:58:49	77.0141	2011.35	1.38017	12.6148
2019-10-14.12:58:50	77.2543	2013.03	4.55236	12.4962
2019-10-14.12:58:51	77.644	2013.67	8.54259	13.0949
2019-10-14.12:58:52	77.9978	2014.09	5.83033	13.3169
2019-10-14.12:58:53	78.2435	2015.55	-1.21392	13.0629
2019-10-14.12:58:54	77.9676	2018.09	-7.19494	14.7417
2019-10-14.12:58:55	77.3046	2021.21	-6.1887	14.8858
2019-10-14.12:58:56	76.9514	2024.35	-0.909438	13.1828
2019-10-14.12:58:57	77.1182	2026.72	2.64108	12.501
2019-10-14.12:58:58	77.4163	2027.95	5.93993	12.5754
2019-10-14.12:58:59	77.8313	2028.36	10.0761	13.4458
2019-10-14.12:59:00	78.1164	2029.09	2.82599	12.9252
2019-10-14.12:59:01	78.2468	2031	-3.57736	13.6793
2019-10-14.12:59:02	77.7427	2033.85	-8.32411	15.1295
2019-10-14.12:59:03	77.1071	2037.04	-3.92584	14.2187
2019-10-14.12:59:04	77.0218	2039.97	0.635186	12.7398
2019-10-14.12:59:05	77.2362	2041.89	3.86523	12.4812
2019-10-14.12:59:06	77.5976	2042.71	7.5533	12.8702
2019-10-14.12:59:07	77.9852	2043.05	7.56732	13.4871
2019-10-14.12:59:08	78.2418	2044.25	0.138913	12.8781
2019-10-14.12:59:09	78.125	2046.56	-5.89844	14.4124
2019-10-14.12:59:10	77.4893	2049.61	-7.23247	15.0957
2019-10-14.12:59:11	77.0068	2052.8	-1.877	13.4954
2019-10-14.12:59:12	77.1145	2055.38	1.96822	12.5276
2019-10-14.12:59:13	77.3788	2056.84	5.16678	12.4931
2019-10-14.12:59:14	77.7834	2057.35	9.45369	13.2545
2019-10-14.12:59:15	78.1035	2057.88	4.40605	13.104
2019-10-14.12:59:16	78.3128	2059.54	-2.31889	13.2884
2019-10-14.12:59:17	77.9197	2062.22	-8.30767	14.9337
2019-10-14.12:59:18	77.2563	2065.37	-5.15175	14.5907
2019-10-14.12:59:19	77.031	2068.42	-0.166681	12.9343
2019-10-14.12:59:20	77.2227	2070.57	3.2051	12.4711
2019-10-14.12:59:21	77.5504	2071.6	6.6566	12.6739
2019-10-14.12:59:22	77.9601	2071.94	9.17593	13.5175
2019-10-14.12:59:23	78.2242	2072.86	1.53405	12.8294
2019-10-14.12:59:24	78.2545	2074.95	-4.65951	14.0193
2019-10-14.12:59:25	77.6765	2077.89	-7.65177	15.1664
2019-10-14.12:59:26	77.0974	2081.08	-2.9259	13.8525
2019-10-14.12:59:27	77.1154	2083.85	1.28201	12.5979
2019-10-14.12:59:28	77.3512	2085.55	4.46557	12.4662
2019-10-14.12:59:29	77.7361	2086.2	8.41523	13.0389
2019-10-14.12:59:30	78.0927	2086.58	6.03849	13.316
2019-10-14.12:59:31	78.3408	2087.99	-1.05886	13.0028
2019-10-14.12:59:32	78.0843	2090.48	-7.04117	14.6769
2019-10-14.12:59:33	77.4234	2093.57	-6.33679	14.8874
2019-10-14.12:59:34	77.0539	2096.7	-1.02134	13.1858
2019-10-14.12:59:35	77.2159	2099.07	2.56956	12.4732
2019-10-14.12:59:36	77.5092	2100.31	5.85914	12.5366
2019-10-14.12:59:37	77.9225	2100.7	10.1103	13.4012
2019-10-14.12:59:38	78.21	2101.39	2.98271	12.9113
2019-10-14.12:59:39	78.3507	2103.25	-3.45199	13.6056
2019-10-14.12:59:40	77.8575	2106.06	-8.41477	15.085
2019-10-14.12:59:41	77.2181	2109.23	-4.05474	14.2275
2019-10-14.12:59:42	77.1205	2112.14	0.558877	12.7253
2019-10-14.12:59:43	77.3325	2114.06	3.80692	12.4528
2019-10-14.12:59:44	77.6897	2114.89	7.4743	12.8238
2019-10-14.12:59:45	78.0789	2115.21	7.70423	13.4685
2019-10-14.12:59:46	78.3353	2116.36	0.243918	12.8392
2019-10-14.12:59:47	78.2325	2118.63	-5.8033	14.3532
2019-10-14.12:59:48	77.601	2121.65	-7.2868	15.0763
2019-10-14.12:59:49	77.1107	2124.81	-1.95734	13.4901
2019-10-14.12:59:50	77.2133	2127.38	1.92331	12.5014
2019-10-14.12:59:51	77.4748	2128.84	5.12513	12.4639
2019-10-14.12:59:52	77.8772	2129.34	9.39061	13.2141
2019-10-14.12:59:53	78.1985	2129.83	4.4968	13.0886
2019-10-14.12:59:54	78.4114	2131.46	-2.25162	13.2382
2019-10-14.12:59:55	78.0264	2134.11	-8.24719	14.8916
2019-10-14.12:59:56	77.3633	2137.23	-5.22392	14.579
2019-10-14.12:59:57	77.1307	2140.26	-0.208555	12.9151
2019-10-14.12:59:58	77.3216	2142.4	3.18153	12.4428
2019-10-14.12:59:59	77.6464	2143.42	6.62872	12.6401
2019-10-14.13:00:00	78.0556	2143.74	9.22496	13.4885
2019-10-14.13:00:01	78.3197	2144.63	1.57868	12.8007
2019-10-14.13:00:02	78.3552	2146.69	-4.623	13.9747
2019-10-14.13:00:03	77.7805	2149.6	-7.67469	15.137
2019-10-14.13:00:04	77.1997	2152.77	-2.96622	13.8331
2019-10-14.13:00:05	77.2153	2155.52	1.26325	12.57
2019-10-14.13:00:06	77.4501	2157.2	4.45478	12.4391
2019-10-14.13:00:07	77.8332	2157.83	8.40062	13.0066
2019-10-14.13:00:08	78.1896	2158.19	6.06907	13.292
2019-10-14.13:00:09	78.4381	2159.58	-1.03714	12.9686
2019-10-14.13:00:10	78.1847	2162.04	-7.01925	14.6422
2019-10-14.13:00:11	77.5251	2165.1	-6.37018	14.8624
2019-10-14.13:00:12	77.1543	2168.21	-1.03645	13.1581
2019-10-14.13:00:13	77.3161	2170.56	2.56608	12.4442
2019-10-14.13:00:14	77.608	2171.78	5.85973	12.5094
2019-10-14.13:00:15	78.0201	2172.15	10.106	13.373
2019-10-14.13:00:16	78.3068	2172.82	2.96804	12.8814
2019-10-14.13:00:17	78.4477	2174.65	-3.46724	13.5767
2019-10-14.13:00:18	77.955	2177.44	-8.40555	15.0569
2019-10-14.13:00:19	77.3168	2180.58	-4.04915	14.1918
2019-10-14.13:00:20	77.2215	2183.47	0.5696	12.6919
2019-10-14.13:00:21	77.4339	2185.37	3.82497	12.425
2019-10-14.13:00:22	77.7905	2186.17	7.50144	12.8006
2019-10-14.13:00:23	78.1778	2186.47	7.64688	13.4376
2019-10-14.13:00:24	78.4338	2187.6	0.191922	12.812
2019-10-14.13:00:25	78.327	2189.86	-5.85263	14.3348
2019-10-14.13:00:26	77.6948	2192.85	-7.26562	15.0399
2019-10-14.13:00:27	77.2095	2195.99	-1.9223	13.4451
2019-10-14.13:00:28	77.3157	2198.53	1.95669	12.4688
2019-10-14.13:00:29	77.5781	2199.96	5.16842	12.4392
2019-10-14.13:00:30	77.98	2200.44	9.45363	13.1968
2019-10-14.13:00:31	78.2983	2200.92	4.40027	13.0478
2019-10-14.13:00:32	78.5081	2202.53	-2.33106	13.2262
2019-10-14.13:00:33	78.1169	2205.16	-8.31726	14.8753
2019-10-14.13:00:34	77.4552	2208.26	-5.15591	14.5259
2019-10-14.13:00:35	77.2326	2211.26	-0.157735	12.8688
2019-10-14.13:00:36	77.4252	2213.37	3.23031	12.4137
2019-10-14.13:00:37	77.7514	2214.35	6.69648	12.6243
2019-10-14.13:00:38	78.1585	2214.64	9.11034	13.4641
2019-10-14.13:00:39	78.4208	2215.54	1.45924	12.7687
2019-10-14.13:00:40	78.4466	2217.59	-4.72776	13.9767
2019-10-14.13:00:41	77.8668	2220.49	-7.64153	15.1061
2019-10-14.13:00:42	77.2936	2223.63	-2.87823	13.7688
[State]	Cruise
2019-10-14.13:00:43	77.3188	2226.34	1.32863	12.53
2019-10-14.13:00:44	77.5557	2227.98	4.5262	12.4129
2019-10-14.13:00:45	77.9397	2228.58	8.50506	12.9997
2019-10-14.13:00:46	78.2913	2228.93	5.88089	13.2415
2019-10-14.13:00:47	78.5373	2230.31	-1.18834	12.9619
2019-10-14.13:00:48	78.269	2232.77	-7.16911	14.6437
2019-10-14.13:00:49	77.6084	2235.82	-6.22921	14.8
2019-10-14.13:00:50	77.2542	2238.89	-0.932905	13.0931
2019-10-14.13:00:51	77.4216	2241.19	2.65124	12.4122
2019-10-14.13:00:52	77.7169	2242.37	5.96761	12.4955
2019-10-14.13:00:53	78.1285	2242.71	10.058	13.3664
2019-10-14.13:00:54	78.4101	2243.38	2.75457	12.8328
2019-10-14.13:00:55	78.5385	2245.22	-3.64521	13.6012
2019-10-14.13:00:56	78.0334	2248.01	-8.27818	15.0464
2019-10-14.13:00:57	77.4023	2251.13	-3.88574	14.104
2019-10-14.13:00:58	77.3261	2253.98	0.68348	12.6369
2019-10-14.13:00:59	77.5419	2255.82	3.93396	12.3983
2019-10-14.13:01:00	77.902	2256.57	7.65484	12.805
2019-10-14.13:01:01	78.2834	2256.85	7.37006	13.3909
2019-10-14.13:01:02	78.539	2258.01	-0.0337188	12.7994
2019-10-14.13:01:03	78.407	2260.27	-6.06178	14.3617
2019-10-14.13:01:04	77.769	2263.25	-7.15117	14.9838
2019-10-14.13:01:05	77.3033	2266.37	-1.76047	13.3566
2019-10-14.13:01:06	77.4223	2268.85	2.07475	12.43
2019-10-14.13:01:07	77.6892	2270.22	5.30381	12.4203
2019-10-14.13:01:08	78.0925	2270.65	9.65508	13.204
2019-10-14.13:01:09	78.4033	2271.14	4.10291	12.9797
2019-10-14.13:01:10	78.6023	2272.77	-2.56724	13.2581
2019-10-14.13:01:11	78.1897	2275.41	-8.49168	14.8855
2019-10-14.13:01:12	77.5314	2278.49	-4.9342	14.4275
2019-10-14.13:01:13	77.3371	2281.45	-8.79e-05	12.7941
2019-10-14.13:01:14	77.5341	2283.49	3.36418	12.3855
2019-10-14.13:01:15	77.8658	2284.41	6.87601	12.6308
2019-10-14.13:01:16	78.2685	2284.68	8.80025	13.4408
2019-10-14.13:01:17	78.5278	2285.6	1.1621	12.7368
2019-10-14.13:01:18	78.5263	2287.67	-4.98657	14.0294
2019-10-14.13:01:19	77.9333	2290.57	-7.57361	15.07
2019-10-14.13:01:20	77.3788	2293.69	-2.6559	13.6576
2019-10-14.13:01:21	77.4258	2296.34	1.48058	12.4789
2019-10-14.13:01:22	77.6679	2297.9	4.68285	12.3883
2019-10-14.13:01:23	78.0555	2298.44	8.73544	13.019
2019-10-14.13:01:24	78.3979	2298.8	5.5016	13.164
2019-10-14.13:01:25	78.6377	2300.22	-1.48313	12.9865
2019-10-14.13:01:26	78.3375	2302.69	-7.46376	14.6754
2019-10-14.13:01:27	77.6755	2305.73	-5.96348	14.7049
2019-10-14.13:01:28	77.3546	2308.76	-0.72822	12.997
2019-10-14.13:01:29	77.531	2310.99	2.80899	12.3799
2019-10-14.13:01:30	77.8333	2312.09	6.16498	12.496
2019-10-14.13:01:31	78.244	2312.39	9.88741	13.3733
2019-10-14.13:01:32	78.5182	2313.1	2.38324	12.7734
2019-10-14.13:01:33	78.6217	2314.97	-3.95226	13.6722
2019-10-14.13:01:34	78.0947	2317.77	-8.06352	15.0437
2019-10-14.13:01:35	77.4778	2320.87	-3.60064	13.9749
2019-10-14.13:01:36	77.4332	2323.66	0.873803	12.5674
2019-10-14.13:01:37	77.6546	2325.41	4.11106	12.3729
2019-10-14.13:01:38	78.0209	2326.09	7.90707	12.8316
2019-10-14.13:01:39	78.3929	2326.37	6.91201	13.3236
2019-10-14.13:01:40	78.6477	2327.57	-0.397244	12.8054
2019-10-14.13:01:41	78.4737	2329.87	-6.40292	14.4217
2019-10-14.13:01:42	77.8273	2332.85	-6.91324	14.9041
2019-10-14.13:01:43	77.3949	2335.92	-1.49545	13.2351
2019-10-14.13:01:44	77.5323	2338.33	2.26566	12.3891
2019-10-14.13:01:45	77.8072	2339.61	5.52294	12.4105
2019-10-14.13:01:46	78.2128	2339.98	9.94845	13.2305
2019-10-14.13:01:47	78.5125	2340.51	3.64482	12.8926
2019-10-14.13:01:48	78.6917	2342.18	-2.93114	13.3322
2019-10-14.13:01:49	78.247	2344.85	-8.60598	14.9142
2019-10-14.13:01:50	77.5957	2347.92	-4.58849	14.2888
2019-10-14.13:01:51	77.4438	2350.82	0.235871	12.7005
2019-10-14.13:01:52	77.6471	2352.76	3.5631	12.3586
2019-10-14.13:01:53	78.0002	2353.59	7.14358	12.5035
2019-10-14.13:01:54	78.4824	2353.69	8.31597	13.1419
2019-10-14.13:01:55	78.8464	2354.44	0.71231	12.4322
2019-10-14.13:01:56	78.9031	2356.32	-5.40682	13.8153
2019-10-14.13:01:57	78.4097	2358.99	-7.4906	14.5318
2019-10-14.13:01:58	78.0577	2361.77	-2.30138	12.8508
2019-10-14.13:01:59	78.3411	2363.92	1.86007	11.719
2019-10-14.13:02:00	78.7769	2364.97	5.20983	11.7223
2019-10-14.13:02:01	79.3738	2365.06	9.49335	11.964
2019-10-14.13:02:02	79.9957	2364.91	4.13865	11.7866
2019-10-14.13:02:03	80.4838	2365.9	-2.69332	12.0516
2019-10-14.13:02:04	80.3095	2368.05	-8.38223	13.6039
2019-10-14.13:02:05	79.8965	2370.74	-4.80331	12.8555
2019-10-14.13:02:06	79.9934	2373.24	0.395706	11.2054
2019-10-14.13:02:07	80.4244	2374.83	4.12097	10.9719
2019-10-14.13:02:08	80.921	2375.43	8.04172	11.2018
2019-10-14.13:02:09	81.5676	2375.38	6.19812	11.1461
2019-10-14.13:02:10	82.2135	2375.98	-1.31764	10.6284
2019-10-14.13:02:11	82.3888	2377.63	-7.46957	12.4285
2019-10-14.13:02:12	82.0128	2380.22	-5.93321	12.3442
2019-10-14.13:02:13	82.0051	2382.88	-0.305955	10.5304
2019-10-14.13:02:14	82.5114	2384.63	3.90318	9.99961
2019-10-14.13:02:15	83.072	2385.29	7.91014	10.2544
2019-10-14.13:02:16	83.7369	2385.24	6.07138	10.358
2019-10-14.13:02:17	84.3604	2385.91	-1.05542	9.90954
2019-10-14.13:02:18	84.5499	2387.68	-7.29418	11.5327
2019-10-14.13:02:19	84.2338	2390.32	-5.93332	11.3682
2019-10-14.13:02:20	84.2704	2393.01	-0.177972	9.71008
2019-10-14.13:02:21	84.7744	2394.94	4.30305	9.31286
2019-10-14.13:02:22	85.2948	2395.86	8.57964	9.66212
2019-10-14.13:02:23	85.8987	2396.18	5.0849	9.19968
2019-10-14.13:02:24	86.6388	2397.01	-2.27166	8.82866
2019-10-14.13:02:25	86.9342	2398.61	-7.26752	10.528
2019-10-14.13:02:26	86.7112	2401.17	-4.84198	10.137
2019-10-14.13:02:27	87.0645	2403.72	1.0246	8.35175
2019-10-14.13:02:28	87.9044	2405.01	5.64657	8.01305
2019-10-14.13:02:29	88.8068	2405.05	8.2683	8.57459
2019-10-14.13:02:30	89.4113	2405.44	2.20277	8.43545
2019-10-14.13:02:31	89.8259	2407.36	-4.85326	9.06087
2019-10-14.13:02:32	89.88	2409.99	-6.85203	9.4639
2019-10-14.13:02:33	90.0032	2412.6	-2.18132	8.32708
2019-10-14.13:02:34	90.732	2414.68	3.40849	7.3054
2019-10-14.13:02:35	91.5742	2415.62	8.2093	7.58742
2019-10-14.13:02:36	92.3775	2415.93	4.98699	7.2636
2019-10-14.13:02:37	93.275	2416.78	-2.23805	7.0145
2019-10-14.13:02:38	93.7621	2418.44	-6.53126	8.43006
2019-10-14.13:02:39	93.8502	2421.05	-4.09045	7.67581
2019-10-14.13:02:40	94.5976	2423.17	2.0387	6.10013
2019-10-14.13:02:41	95.8056	2423.47	7.26703	5.94037
2019-10-14.13:02:42	96.6254	2423.36	5.24658	7.05953
2019-10-14.13:02:43	97.0279	2425.29	-1.09749	6.85903
