DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.17:00:14	87.2108	2235.87	0.0390811	11.6137
2019-10-11.17:00:15	87.2178	2240.77	0.0389592	11.6107
2019-10-11.17:00:16	87.2254	2245.66	0.0388381	11.6076
2019-10-11.17:00:17	87.2337	2250.54	0.0387176	11.6047
2019-10-11.17:00:18	87.2423	2255.43	0.0385978	11.6021
2019-10-11.17:00:19	87.2511	2260.31	0.0384783	11.6001
2019-10-11.17:00:20	87.2598	2265.19	0.0383591	11.5985
2019-10-11.17:00:21	87.2681	2270.07	0.0382401	11.5974
2019-10-11.17:00:22	87.2758	2274.95	0.0381211	11.5967
2019-10-11.17:00:23	87.2829	2279.83	0.0380022	11.5961
2019-10-11.17:00:24	87.2893	2284.71	0.0378834	11.5954
2019-10-11.17:00:25	87.2954	2289.59	0.0377647	11.5943
2019-10-11.17:00:26	87.3012	2294.46	0.0376464	11.5928
2019-10-11.17:00:27	87.3072	2299.34	0.0375287	11.5909
2019-10-11.17:00:28	87.3135	2304.21	0.0374115	11.5884
2019-10-11.17:00:29	87.3203	2309.08	0.037295	11.5856
2019-10-11.17:00:30	87.3278	2313.95	0.0371793	11.5827
2019-10-11.17:00:31	87.3358	2318.81	0.0370642	11.5799
2019-10-11.17:00:32	87.3442	2323.67	0.0369496	11.5773
2019-10-11.17:00:33	87.3528	2328.53	0.0368356	11.5752
2019-10-11.17:00:34	87.3613	2333.38	0.0367218	11.5735
2019-10-11.17:00:35	87.3696	2338.24	0.0366081	11.5722
2019-10-11.17:00:36	87.3774	2343.09	0.0364946	11.5713
2019-10-11.17:00:37	87.3846	2347.95	0.0363811	11.5706
2019-10-11.17:00:38	87.3912	2352.8	0.0362678	11.5698
2019-10-11.17:00:39	87.3974	2357.65	0.0361546	11.5688
2019-10-11.17:00:40	87.4035	2362.5	0.0360417	11.5674
2019-10-11.17:00:41	87.4095	2367.35	0.0359292	11.5655
2019-10-11.17:00:42	87.4158	2372.2	0.0358173	11.5633
2019-10-11.17:00:43	87.4225	2377.05	0.035706	11.5607
2019-10-11.17:00:44	87.4297	2381.89	0.0355954	11.5579
2019-10-11.17:00:45	87.4375	2386.73	0.0354854	11.5552
2019-10-11.17:00:46	87.4457	2391.56	0.035376	11.5526
2019-10-11.17:00:47	87.4541	2396.4	0.035267	11.5504
2019-10-11.17:00:48	87.4625	2401.23	0.0351584	11.5486
2019-10-11.17:00:49	87.4707	2406.06	0.0350499	11.5472
2019-10-11.17:00:50	87.4785	2410.89	0.0349415	11.5462
2019-10-11.17:00:51	87.4859	2415.72	0.0348333	11.5453
2019-10-11.17:00:52	87.4927	2420.54	0.0347251	11.5445
2019-10-11.17:00:53	87.4991	2425.37	0.0346171	11.5434
2019-10-11.17:00:54	87.5052	2430.2	0.0345094	11.5421
