DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.17:26:05	87.1243	2178	0.0405502	11.632
2019-10-11.17:26:06	87.133	2182.91	0.0404243	11.6291
2019-10-11.17:26:07	87.1419	2187.82	0.0402989	11.6267
2019-10-11.17:26:08	87.1509	2192.72	0.0401739	11.6248
2019-10-11.17:26:09	87.1596	2197.63	0.0400491	11.6235
2019-10-11.17:26:10	87.1678	2202.53	0.0399244	11.6227
2019-10-11.17:26:11	87.1753	2207.44	0.0397997	11.6222
2019-10-11.17:26:12	87.182	2212.34	0.039675	11.6217
2019-10-11.17:26:13	87.1882	2217.25	0.0395505	11.6209
2019-10-11.17:26:14	87.194	2222.15	0.0394262	11.6198
2019-10-11.17:26:15	87.1997	2227.05	0.0393024	11.6181
2019-10-11.17:26:16	87.2057	2231.95	0.0391792	11.6158
2019-10-11.17:26:17	87.2122	2236.85	0.0390567	11.6131
2019-10-11.17:26:18	87.2192	2241.74	0.0389349	11.6101
2019-10-11.17:26:19	87.227	2246.63	0.0388139	11.607
2019-10-11.17:26:20	87.2354	2251.52	0.0386936	11.6042
2019-10-11.17:26:21	87.2441	2256.4	0.0385738	11.6017
2019-10-11.17:26:22	87.2529	2261.29	0.0384545	11.5997
2019-10-11.17:26:23	87.2615	2266.17	0.0383353	11.5983
2019-10-11.17:26:24	87.2697	2271.05	0.0382163	11.5973
2019-10-11.17:26:25	87.2773	2275.93	0.0380973	11.5966
2019-10-11.17:26:26	87.2842	2280.8	0.0379784	11.596
2019-10-11.17:26:27	87.2906	2285.68	0.0378596	11.5952
2019-10-11.17:26:28	87.2966	2290.56	0.037741	11.5941
2019-10-11.17:26:29	87.3024	2295.44	0.0376228	11.5925
2019-10-11.17:26:30	87.3084	2300.31	0.0375052	11.5904
2019-10-11.17:26:31	87.3148	2305.19	0.0373881	11.5879
2019-10-11.17:26:32	87.3218	2310.05	0.0372718	11.5851
2019-10-11.17:26:33	87.3293	2314.92	0.0371562	11.5821
2019-10-11.17:26:34	87.3374	2319.78	0.0370412	11.5793
2019-10-11.17:26:35	87.3459	2324.64	0.0369268	11.5769
2019-10-11.17:26:36	87.3545	2329.5	0.0368128	11.5748
2019-10-11.17:26:37	87.363	2334.35	0.036699	11.5732
2019-10-11.17:26:38	87.3712	2339.21	0.0365854	11.572
2019-10-11.17:26:39	87.3789	2344.06	0.0364719	11.5712
2019-10-11.17:26:40	87.3859	2348.92	0.0363584	11.5705
2019-10-11.17:26:41	87.3925	2353.77	0.0362451	11.5696
2019-10-11.17:26:42	87.3987	2358.62	0.036132	11.5685
2019-10-11.17:26:43	87.4046	2363.47	0.0360192	11.5671
2019-10-11.17:26:44	87.4107	2368.32	0.0359068	11.5651
2019-10-11.17:26:45	87.4171	2373.17	0.035795	11.5628
2019-10-11.17:26:46	87.4239	2378.02	0.0356839	11.5601
2019-10-11.17:26:47	87.4312	2382.86	0.0355734	11.5574
2019-10-11.17:26:48	87.4391	2387.7	0.0354635	11.5546
2019-10-11.17:26:49	87.4474	2392.53	0.0353542	11.5521
2019-10-11.17:26:50	87.4558	2397.36	0.0352453	11.55
2019-10-11.17:26:51	87.4642	2402.19	0.0351366	11.5483
2019-10-11.17:26:52	87.4723	2407.02	0.0350282	11.547
2019-10-11.17:26:53	87.48	2411.85	0.0349199	11.546
2019-10-11.17:26:54	87.4873	2416.68	0.0348116	11.5451
2019-10-11.17:26:55	87.494	2421.51	0.0347035	11.5443
2019-10-11.17:26:56	87.5003	2426.34	0.0345955	11.5432
2019-10-11.17:26:57	87.5064	2431.16	0.0344879	11.5418
2019-10-11.17:26:58	87.5125	2435.99	0.0343806	11.54
2019-10-11.17:26:59	87.5189	2440.81	0.0342738	11.5378
2019-10-11.17:27:00	87.5256	2445.63	0.0341676	11.5353
2019-10-11.17:27:01	87.5328	2450.45	0.0340621	11.5327
2019-10-11.17:27:02	87.5404	2455.26	0.0339571	11.53
2019-10-11.17:27:03	87.5485	2460.07	0.0338526	11.5276
2019-10-11.17:27:04	87.5567	2464.88	0.0337486	11.5254
2019-10-11.17:27:05	87.565	2469.69	0.0336448	11.5236
2019-10-11.17:27:06	87.5731	2474.49	0.0335413	11.5221
2019-10-11.17:27:07	87.5808	2479.3	0.0334379	11.521
2019-10-11.17:27:08	87.5881	2484.1	0.0333346	11.52
2019-10-11.17:27:09	87.595	2488.9	0.0332314	11.5191
2019-10-11.17:27:10	87.6015	2493.71	0.0331284	11.518
2019-10-11.17:27:11	87.6077	2498.51	0.0330257	11.5167
2019-10-11.17:27:12	87.6139	2503.31	0.0329233	11.515
2019-10-11.17:27:13	87.6203	2508.1	0.0328213	11.513
2019-10-11.17:27:14	87.6269	2512.9	0.0327198	11.5106
2019-10-11.17:27:15	87.6339	2517.69	0.032619	11.5081
2019-10-11.17:27:16	87.6414	2522.48	0.0325186	11.5056
2019-10-11.17:27:17	87.6492	2527.27	0.0324188	11.5031
2019-10-11.17:27:18	87.6573	2532.05	0.0323194	11.5009
2019-10-11.17:27:19	87.6654	2536.83	0.0322203	11.499
2019-10-11.17:27:20	87.6735	2541.62	0.0321215	11.4975
2019-10-11.17:27:21	87.6812	2546.39	0.0320228	11.4962
2019-10-11.17:27:22	87.6886	2551.17	0.0319243	11.4951
2019-10-11.17:27:23	87.6956	2555.95	0.0318258	11.4941
2019-10-11.17:27:24	87.7022	2560.73	0.0317275	11.493
2019-10-11.17:27:25	87.7086	2565.51	0.0316294	11.4917
2019-10-11.17:27:26	87.7148	2570.28	0.0315316	11.4901
2019-10-11.17:27:27	87.7212	2575.05	0.0314343	11.4882
2019-10-11.17:27:28	87.7616	2579.79	0.0319636	11.1944
2019-10-11.17:27:29	87.9569	2584.21	0.0327339	10.838
[State]	Cruise
2019-10-11.17:27:30	88.2908	2588.25	0.0331498	10.5439
2019-10-11.17:27:31	88.7456	2591.99	0.033432	10.2319
2019-10-11.17:27:32	89.3064	2595.46	0.0337476	9.93989
2019-10-11.17:27:33	89.9568	2598.71	0.0343343	9.653
2019-10-11.17:27:34	90.6842	2601.79	0.0352122	9.37452
2019-10-11.17:27:35	91.4791	2604.73	0.0362479	9.10012
2019-10-11.17:27:36	92.3349	2607.57	0.037266	8.82944
2019-10-11.17:27:37	93.2455	2610.32	0.0381785	8.56149
2019-10-11.17:27:38	94.2014	2613	0.039006	8.29748
2019-10-11.17:27:39	95.1985	2615.64	0.0398546	8.03004
2019-10-11.17:27:40	96.2362	2618.23	0.0407636	7.76486
2019-10-11.17:27:41	97.314	2620.8	0.0417148	7.49949
2019-10-11.17:27:42	98.4284	2623.33	0.0426456	7.23718
2019-10-11.17:27:43	99.5769	2625.81	0.0435218	6.98348
2019-10-11.17:27:44	100.756	2628.16	0.044205	6.77125
2019-10-11.17:27:45	101.958	2630.39	0.044853	6.554
2019-10-11.17:27:46	103.175	2632.52	0.0454943	6.3694
2019-10-11.17:27:47	104.4	2634.57	0.0461874	6.18165
2019-10-11.17:27:48	105.63	2636.61	0.0469337	5.98612
2019-10-11.17:27:49	106.864	2638.65	0.0476519	5.793
